iter	Passed	Remaining
425	1993	2685
426	1998	2682
427	2003	2677
428	2007	2672
429	2012	2668
430	2018	2664
431	2024	2661
432	2031	2659
433	2038	2658
434	2046	2657
435	2055	2658
436	2063	2659
437	2071	2658
438	2077	2654
439	2082	2650
440	2094	2655
441	2101	2653
442	2106	2648
443	2111	2643
444	2116	2639
445	2122	2636
446	2128	2633
447	2136	2632
448	2143	2630
449	2149	2627
450	2154	2622
451	2159	2618
452	2164	2614
453	2171	2611
454	2177	2607
455	2183	2605
456	2189	2602
457	2206	2611
458	2210	2605
459	2216	2601
460	2220	2595
461	2224	2590
462	2228	2584
463	2232	2579
464	2236	2573
465	2240	2567
466	2244	2561
467	2248	2556
468	2253	2551
469	2257	2545
470	2261	2539
471	2265	2533
472	2269	2528
473	2273	2522
474	2278	2518
475	2283	2513
476	2286	2507
477	2290	2501
478	2296	2497
479	2301	2492
480	2306	2488
481	2312	2484
482	2317	2481
483	2321	2474
484	2325	2469
485	2329	2463
486	2333	2457
487	2336	2451
488	2343	2448
489	2348	2444
490	2355	2441
491	2361	2437
492	2366	2433
493	2370	2427
494	2374	2422
495	2380	2418
496	2384	2413
497	2388	2407
498	2392	2402
499	2397	2397
500	2401	2391
501	2405	2386
502	2409	2380
503	2413	2375
504	2418	2370
505	2422	2364
506	2426	2359
507	2431	2354
508	2438	2352
509	2442	2347
510	2449	2343
511	2454	2338
512	2459	2335
513	2464	2329
514	2468	2324
515	2472	2319
516	2477	2314
517	2481	2309
518	2486	2304
519	2491	2299
520	2496	2295
521	2501	2290
522	2505	2285
523	2510	2280
524	2514	2275
525	2518	2269
526	2522	2264
527	2527	2259
528	2531	2254
529	2535	2248
530	2539	2243
531	2544	2237
532	2548	2232
533	2552	2227
534	2555	2221
535	2559	2216
536	2564	2210
537	2571	2208
538	2576	2203
539	2579	2197
540	2583	2191
541	2587	2186
542	2591	2181
543	2595	2175
544	2599	2169
545	2602	2164
546	2607	2159
547	2611	2153
548	2614	2148
549	2618	2142
550	2622	2137
551	2626	2131
552	2632	2127
553	2637	2123
554	2641	2118
555	2645	2112
556	2649	2106
557	2652	2101
558	2656	2095
559	2665	2094
560	2671	2090
561	2675	2085
562	2679	2079
563	2683	2074
564	2686	2068
565	2691	2063
566	2694	2057
567	2699	2053
568	2704	2048
569	2708	2043
570	2711	2037
571	2715	2032
572	2719	2026
573	2724	2022
574	2730	2017
575	2734	2013
576	2739	2007
577	2742	2002
578	2746	1996
579	2749	1991
580	2753	1985
581	2757	1980
582	2760	1974
583	2764	1969
584	2768	1963
585	2772	1958
586	2775	1952
587	2779	1947
588	2782	1941
589	2786	1936
590	2790	1930
591	2795	1926
592	2800	1921
593	2804	1917
594	2809	1912
595	2814	1907
596	2818	1902
597	2822	1897
598	2825	1891
599	2829	1886
600	2831	1879
601	2835	1874
602	2840	1870
603	2844	1864
604	2847	1859
605	2851	1854
606	2855	1848
607	2859	1843
608	2863	1838
609	2866	1832
610	2870	1827
611	2874	1822
612	2878	1816
613	2881	1811
614	2885	1806
615	2889	1800
616	2892	1795
617	2896	1790
618	2900	1785
619	2903	1779
620	2907	1774
621	2911	1769
622	2914	1763
623	2918	1758
624	2922	1753
625	2926	1748
626	2930	1743
627	2933	1737
628	2937	1732
629	2941	1727
630	2944	1722
631	2948	1716
632	2951	1711
633	2955	1706
634	2958	1700
635	2962	1695
636	2966	1690
637	2970	1685
638	2973	1680
639	2977	1674
640	2981	1669
641	2984	1664
642	2988	1659
643	2992	1654
644	2995	1648
645	2999	1643
646	3003	1638
647	3007	1633
648	3011	1628
649	3015	1623
650	3019	1618
651	3022	1613
652	3026	1608
653	3030	1603
654	3034	1598
655	3037	1593
656	3041	1587
657	3045	1582
658	3049	1577
659	3058	1575
660	3064	1571
661	3069	1566
662	3074	1562
663	3080	1558
664	3085	1554
665	3090	1549
666	3093	1544
667	3098	1539
668	3106	1536
669	3113	1533
670	3120	1529
671	3126	1526
