iter	MultiClass
638	0.08022129155
639	0.08019306025
640	0.08016492112
641	0.08013687371
642	0.08010891756
643	0.08008105224
644	0.0800532773
645	0.0800255923
646	0.0799979968
647	0.07997049039
648	0.07994002474
649	0.07991270251
650	0.07988546804
651	0.07985832091
652	0.07983126071
653	0.07980428701
654	0.0797744012
655	0.07974760642
656	0.07971522845
657	0.07968565033
658	0.07965354126
659	0.07962712191
660	0.07960078612
661	0.07957453349
662	0.0795454374
663	0.07951935682
664	0.07949335819
665	0.07946744114
666	0.07942960935
667	0.07940100766
668	0.07937536971
669	0.07934981169
670	0.07932433325
671	0.07929358003
672	0.07926827295
673	0.07924304433
674	0.07921789379
675	0.07919282097
676	0.07916501522
677	0.07914010323
678	0.07911526786
679	0.07909050874
680	0.07906582553
681	0.07904121787
682	0.0790166854
683	0.07899222779
684	0.07896784469
685	0.07894353576
686	0.07891930065
687	0.07889240372
688	0.0788655982
689	0.07884159495
690	0.07881932312
691	0.07879545876
692	0.07877166623
693	0.07874794519
694	0.07872161404
695	0.07869804106
696	0.07867453859
697	0.07865110631
698	0.07862509198
699	0.07859916466
700	0.07857332389
701	0.0785501869
702	0.07852711848
703	0.07850411834
704	0.07848118615
705	0.07845832163
706	0.07843552447
707	0.07841279438
708	0.07838755317
709	0.07836496202
710	0.07834243702
711	0.07831742217
712	0.07829503425
713	0.07827271161
714	0.07825045395
715	0.07822826101
716	0.07820613248
717	0.0781840681
718	0.07816206759
719	0.07814013066
720	0.07811825704
721	0.07809644645
722	0.07807469863
723	0.07805301331
724	0.07803139021
725	0.07800982906
726	0.07797807091
727	0.0779542
728	0.07793285214
729	0.07791156509
730	0.07789033861
731	0.07786917243
732	0.0778480663
733	0.07782701995
734	0.07780603314
735	0.07778510561
736	0.07776423711
737	0.07774342739
738	0.07772028095
739	0.07769959314
740	0.07767896335
741	0.07765839134
742	0.07763787686
743	0.07761505419
744	0.07759465906
745	0.07757432073
746	0.07755403895
747	0.0775338135
748	0.07751364414
749	0.07749353063
750	0.07747347275
751	0.07745114846
752	0.077431206
753	0.0774128582
754	0.07739455968
755	0.07737247349
756	0.07735045566
757	0.07733078546
758	0.07731116907
759	0.07728933601
760	0.07726757015
761	0.07724812324
762	0.07722648175
763	0.07720292135
764	0.07718364704
765	0.07716442496
766	0.07714303108
767	0.07712391738
768	0.07710485526
769	0.07708584451
770	0.07706468333
771	0.07704577919
772	0.07702692579
773	0.07700812292
774	0.07698937037
775	0.07697066795
776	0.07695201546
777	0.07693341269
778	0.07691386803
779	0.07689536505
780	0.07687691121
781	0.07685850629
782	0.07683613741
783	0.07681783873
784	0.0767995884
785	0.07678138623
786	0.07676110894
787	0.07674300676
788	0.0767228415
789	0.07670483848
790	0.07668826389
791	0.0766703509
792	0.07665248474
793	0.07663466523
794	0.07661689217
795	0.07659708756
796	0.076579411
797	0.07656178034
798	0.07653558258
799	0.07651423187
800	0.0764967643
801	0.07647934189
802	0.07646196444
803	0.0764446318
804	0.0764253126
805	0.07640604956
806	0.07638885819
807	0.07637171089
808	0.07635460751
809	0.07633554372
810	0.07631653498
811	0.07629758104
812	0.07628066321
813	0.0762637884
814	0.07624498248
815	0.07622819706
816	0.07620949134
817	0.07619279459
818	0.07617418827
819	0.07615757949
820	0.07614101258
821	0.07612448737
822	0.07610800369
823	0.07608963158
824	0.07607323421
825	0.0760568779
826	0.0760405625
827	0.07602237601
828	0.0760061456
829	0.07598805441
830	0.07597190832
831	0.07595580236
832	0.07593973637
833	0.0759237102
834	0.07590584361
835	0.07588990019
836	0.07587212641
837	0.0758562651
838	0.07584044286
839	0.07582280354
840	0.07580521323
841	0.07578951427
842	0.07577385377
843	0.07575823161
844	0.07574264765
845	0.07572710173
846	0.07571159373
847	0.0756961235
848	0.07567727007
849	0.07566188202
850	0.07564653132
851	0.07563121784
852	0.07561594145
853	0.07560070201
854	0.07558370107
855	0.07556853844
856	0.07555341234
857	0.0755365373
858	0.07552148716
859	0.07550647315
860	0.07549149514
861	0.075476553
862	0.0754616466
863	0.07544677582
864	0.07543194052
865	0.07541538397
866	0.07540062245
867	0.07538283783
868	0.07536640885
869	0.07535176139
870	0.07533714864
871	0.07532257049
872	0.0753080268
873	0.07529351746
874	0.07527904233
875	0.07526460131
876	0.0752484785
877	0.07523239864
878	0.07521806534
879	0.07520376564
880	0.07518949942
881	0.07517526656
882	0.07516106695
883	0.07514690046
884	0.07513276699
885	0.07511866641
886	0.07510291876
887	0.07508721261
888	0.07507321598
889	0.07505925178
890	0.07504531988
891	0.07503142017
892	0.07501755255
893	0.0750037169
894	0.07498991311
895	0.07497614107
896	0.07496240066
897	0.07494869179
898	0.07493501434
899	0.07492207464
900	0.07490845783
901	0.07489487213
902	0.07488131743
903	0.07486779361
904	0.07485430058
905	0.07484083824
906	0.07482740646
907	0.07481239124
908	0.07479902312
909	0.07478568526
910	0.07477237755
911	0.07475909989
912	0.07474585218
913	0.07473263432
914	0.07471785428
915	0.07470469857
916	0.0746915724
917	0.07467847566
918	0.07466540827
919	0.07465237011
920	0.07463778806
921	0.07462324304
922	0.07461029742
923	0.07459738064
924	0.07458293539
925	0.07457007866
926	0.07455725048
927	0.07454290398
928	0.07453013524
929	0.07451739474
930	0.07450314599
931	0.07449046434
932	0.07447781064
933	0.07445874333
934	0.07444108216
935	0.07442853282
936	0.07441601105
937	0.07440351674
938	0.0743910498
939	0.07437861015
940	0.07436619769
941	0.07435381234
942	0.074341454
943	0.07432912258
944	0.074316818
945	0.07430544743
946	0.07429319401
947	0.07428096718
948	0.07426728563
949	0.07425511417
950	0.07424149509
951	0.07422852947
952	0.07421644005
953	0.07420437669
954	0.07419233929
955	0.07418032777
956	0.07416688728
957	0.07415492969
958	0.07414299773
959	0.07413109131
960	0.07411921035
961	0.07410735477
962	0.07409552449
963	0.07408371943
964	0.07407050591
965	0.07405875339
966	0.07404702584
967	0.07403389883
968	0.07402222332
969	0.07401057253
970	0.07399753118
971	0.07398593192
972	0.07397435714
973	0.07396280677
974	0.07395128073
975	0.07393977893
976	0.07392830132
977	0.07391545068
978	0.07390402346
979	0.07389262017
980	0.07387985252
981	0.0738671153
982	0.07385578787
983	0.07384448406
984	0.07383320381
985	0.07382194705
986	0.07381071369
987	0.07379950368
988	0.07378831692
989	0.07377715336
990	0.07376146522
991	0.07375035559
992	0.0737379144
993	0.0737268528
994	0.07371581401
995	0.07370479796
996	0.07369246068
997	0.07368149205
998	0.07367054596
999	0.07365962232
